text,label,notes
"I find this really interesting as a Trail Blazers fan specifically because the team is in the middle of a head coach search, and how it pertains to Tiago Splitter who is a proponent of similar read and react offensive philosophies and the team very much had few set plays- by Tiago's own admission, something he felt came back to bite them in the postseason. He called our system ""the blender"", in the sense that every cut should be a movement through space where the vacuum left is filled by the next man and so-on. Due to injuries, the team wasn't really healthy enough to have the talent or continuity to run the systems Tiago wanted, so most of the season we wound up moving to a heliocentric 'put the ball in Deni's hands and let him cook' offense, and I wonder how Tiago would handle that if he got back in terms of balancing what he thinks philosophically vs the evidence that an old-school, 'give the rock to your star' offense was just more effective for the team last year. I do think read-and-react teams are the basketball ideal, like the Spurs beautiful mind 2013-2014 team Tiago was a part of, or the GSW dynasty built off Curry's and Klay's offball gravity whizzing around the floor, but I also think there is a demand on the players having both the talent, basketball acumen, and want to pull it off- if you've got a Jonathan Kuminga style 'turd in the punchbowl', you can quickly see that it takes certain kinds of players to thrive in these kinds of offense. I wonder if that's motivating the Brad Stevens esque coach to GM transitions, the degree to which personnel and roster-building decisions inform the on court product is arguably higher than ever, so you need your front office aligned in the vision and execution.",analysis,"Draws historical parallel to Tiago Splitter's coaching philosophy and its failure with young Trail Blazers; uses team-specific context as evidence."
"Yes and this is a historical problem with read-and-react offenses. It's rather easy to scout eventually. We ran a similar point-based motion offense and it got to a point in Playoffs where depending on what our players called, the opposing teams players would call it so they all knew what action they were trying to jam... i.e. we ran the exact Flex screen action that the Knicks run and they jammed it perfectly. Played every part of it perfectly. This is where our younger guys started breaking down and couldn't handle the pressure of trying to create something out of nothing. That's why people say in Playoffs you need a superstar -- a guy that can go 1-on-1, P&amp;R, and just cook. Injuries and stuff is so tough and de-rails the chemistry building process badly. Especially if it's a guy like Scoot, Camara.. the bigger cogs",analysis,"Explains how motion offense gets scouted over time using personal coaching experience as evidence; structured argument about system vulnerabilities."
"The Warriors have run something similar (in that it’s read and react and motion constantly without a lot of play calls) since Kerr became coach. I doubt that it’s coincidence that Brown has implemented his version. He’s said he learned not to micromanage the offense during his time with SF and to trust his players to make the right decisions.",analysis,"Makes a historical/causal argument linking Kerr and Brown's systems; cites Brown's own stated philosophy as evidence."
"Yup! Another bunch of incredibly high IQ guys. They run the same thing but out of the low post for Draymond due to how much more 3 pt spacing it gives them instead of looking for paint scoring opportunities like the Knicks do. They’ll often do their little dance on the perimeter and use the split screen as a drag screen for a 3 instead. It's actually probably more to do with the fact that Draymond is not a scoring threat from 3. They do run Horford out of the pinch post or on an overloaded wing-point action sometimes from what I can remember.",analysis,"Compares Knicks and Warriors implementations of similar motion systems with specific player and tactical differences cited."
"Pacers do the same thing. They just term it ""random basketball."" It's not really mind-blowing, it fits a faster paced game. Less setup, more intuition and reads. Heavily reliant on chemistry.",hot_take,"Makes a claim about the Pacers running the same system under a different name; stated as fact without detailed supporting evidence."
"Actually technically speaking by the way, the Pacers run a pistol/circle motion offense. It’s a bit more perimeter orientated and relies less on a big man who can create, rather perimeter shooters and perimeter players who can create.",analysis,"Provides specific tactical correction distinguishing Pacers pistol/circle motion from Princeton; names specific personnel roles as evidence."
"This is what Stephen Silas tried to do with the young Rockets core in Houston and fans absolutely flamed him for it. But the GM seems to have been behind the process, too, or he wouldn’t have let it go on for multiple seasons. In the end, it failed because the owner lost faith in it. Probably because Kevin Porter Jr is no Jalen Brunson and Fertitta didn’t allow his GM enough time to sign James Harden to come back into the lead guard role. But it’s absolutely the best way to run an offense in the modern NBA, imo. Take what the defense gives you and exploit it. Try to make plans, and it’s easier for them to get blown up.",analysis,"Traces the failure of Silas's similar system in Houston using multi-season organizational context (GM, owner, fans) as structured argument."
"They had a lot of egos to manage there too. Buy-in is so so so important.",hot_take,"Brief declarative claim about Rockets ego problems and the importance of buy-in; asserts without elaboration or verifiable evidence."
"It’s much more popular among coaches now to just have systems. You’ve got maybe a couple plays but the game breaks down and it’s a lot to keep track of.",hot_take,"Asserts a trend (coaches prefer systems over plays) without citing specific data or examples; confident statement without supporting evidence."
"If you watch a lot of teams that’s what happens sometimes. There’s a couple of set ‘formations’. Some teams run ‘Flash.’ Wide wing corner, wide guard corners. Star flashes middle. Goes to work 1 on 1 in the middle of the floor. Another popular formation is ‘Power’ which is what the Grizzlies ran - dunkers spot, corners, a play maker and another guard. If you dribble at a spot it’s a back cut and then a constant rotation of movement. Others run weak side pick and roll. Every team needs a couple of ‘Here’s the ball. Go be great’ type of plays, and guys who can execute them.",analysis,"Describes specific named offensive formations used by real teams with tactical roles explained; verifiable tactical knowledge."
"Reminds of Pacers last year; everyone knowing their role and committing to it fully can outplay more talent teams. There's no hesitation and outside of Brunson, no one is forcing anything. Brunson has been very inefficient, but him being aggressive and putting so much pressure, allows everyone else to be more efficient. The moment teams let up on him, he goes on a run.",analysis,"Makes a causal tactical argument about Brunson's aggression creating opportunities for teammates; draws comparison to Pacers chemistry."
"Great post, thanks very much. I'd just like to bring up the fact that Brown is frequently lambasted by fans as a poor coach without the X/O know-how. This championship run is an interesting reminder that, unlike star performance, coaching outcome is highly circumstantial.",hot_take,"Claims Brown is frequently underrated and that coaching outcomes are highly circumstantial; confident opinion without rigorous evidence."
"That was my perspective of him too actually before he went to Sacramento. I was never a fan of him in LA. But it makes you wonder the more stories we hear posthumously about Bean how many of those personnel issues were more to do with the players than the coaches.",hot_take,"Reassesses Brown's reputation and implies Kobe-era personnel issues were the players' fault, not coaches; speculative and without verifiable evidence."
"I mean it worked , right? You can’t tell me that works against the beautiful game spurs though.",hot_take,"Rhetorical challenge asserting the system would fail against the Spurs; stated boldly without supporting evidence."
"Everyone knew this Spurs team was gonna terrorize the West for years… but this early??","hot_take","depth-0, author=KarchunToo"
"I thought for sure they lose his series and that would be the motivation they needed to own the league for the next decade. Turns out they brought their own motivation.","reaction","depth-1, author=pagerussell"
"Wemby going out with 5 fouls, and everyone worrying about how they'll handle the minutes without him, only for LUKE KORNET to absolutely OBLITERATE Hartenstein's dunk attempt was the most important play of the game It was like when the Chiefs subbed in Chad Henne after Mahomes went out and he got that game-sealing 4th down","hot_take","depth-0, author=AthleticAlarm32"
"That block was top 3 moment of the series Wemby's crazy ass 3 first game obviously #1","hot_take","depth-1, author=DangerIsMyUsername"
"Chet had one of the most sorry playoff series performance for an allstar, all-nba, and all-defensive team player of all time. That was pathetic on a multitude of levels…🤮🤮🤮","hot_take","depth-0, author=ProfessorBeast55"
"$240 million to put up 2 FGA and have 4/4/0 is ridiculous, he was scared for his life","hot_take","depth-1, author=Homeless_drip"
"To destroy the ""too small"" narrative, Jalen Brunson will have to defeat the tallest basketball player in the world. This finals is going to be so fun.","hot_take","depth-0, author=PlanetJK"
"Good. 2 orange and blue teams would’ve been a bad uniform matchup","hot_take","depth-0, author=expungant"
"Chet fucking stinks, Ozempic Abraham Lincoln is a no show once again 4 points on 1/2 FG in G7 of the WCF? With B2B Finals on the line?","hot_take","depth-0, author=Leegend124"
"1-2 for 4 points in a winner take all game where your 3rd and 4th best scorers are out. Just completely owned by Wemby","hot_take","depth-1, author=JuanRobesPierre"
"I LOVE DYLAN HARPER AND I DONT CARE WHO KNOWS IT, KID IS SO FUCKING TUFF","reaction","depth-0, author=Casualrodfarva2"
"He really is so great holy. Him stopping Castle from hulking out, Crazy good defense, Made impactful offensive rebounds. He has me as a fan for life.","reaction","depth-1, author=Batman4815"
"Spurs vs Knicks is going to be absolute cinema. Legit I can't wait the toxicity of these games was too much LOL","hot_take","depth-0, author=dylanh334"
"Champagnie was Undrafted out of college and he is playing like 20+ minutes a game in the WCF making league minimum money. That’s fucking crazy.","analysis","depth-0, author=ignatious__reilly"
"Daryl Morey let him go from the Sixers by the way, all roads lead back to him.","hot_take","depth-1, author=dpatel211"
"Wemby wasn't even that good tonight. Spurs team is just that good already. Champagnie the game 7 killer.","hot_take","depth-0, author=sloBrodanChillosevic"
"Keldon Johnson 4th quarter proved why he was 6th man of the year.","hot_take","depth-1, author=BlazeBloom"
"This series between the two top MVP candidates: Victor Wembanyama Points: 28.1 PPG Rebounds: 13.2 RPG Assists: 2.8 APG Blocks: 3.7 BPG 48.1 / 40.0 / 89.5 Shai Gilgeous-Alexander Points: 28.0 PPG Rebounds: 4.3 RPG Assists: 8.2 APG Steals: 1.8 SPG 40.9 / 28.6 / 93.8 (don’t ask me to throw Chet in here that’s mean)","analysis","depth-0, author=marquisoflife"
"I have to give flowers for SGA's skills in the assists category. That man had full 360-degree court vision and was making perfect passes out of double teams mid jump like it was nothing. Amazing composure and IQ","hot_take","depth-1, author=ZenThrashing"
"What an insane 7 game series. Absolute battles of dominance as well as attrition imo.","reaction","depth-0, author=realrimurutempest"
"WHAT A FUCKING BALL GAME! I thought it was gonna get ugly with the Caruso hard foul on Castle earlier being just a common foul, but it didn't get ugly. The refs let them play for the most part. Man, I'm looking forward to the Knicks-Spurs match up, but I dunno if it'll live up to the hype of this entire Series. What a game. I'm gonna be sad when this season is over and I gotta wait until the start of the next one.","reaction","depth-0, author=DMmeNiceTitties"
"The let them play version of the nba is such a better product for the viewer","hot_take","depth-1, author=Rapscallious1"
"We have a rematch of the 1999 NBA Finals and even more importantly, a rematch of the 2026 NBA Cup Final. The most important championship in sports.","hot_take","depth-0, author=WatchOutIGotYou"
"OH yeah, I forgot that the NBA finals will be a rematch of Cup Final, lol","reaction","depth-1, author=Money4Nothing2000"
"Chet having 2 FGA in a game 7 is disgusting Caruso shouldn't have the 2nd most FGA in a game 7 either!","hot_take","depth-0, author=mangoribbean"
"Kornet with one of the biggest plays of the series.","hot_take","depth-0, author=chataolauj"
"If Chet's a 50M+ third option that's a fuckin anchor contract","hot_take","depth-0, author=evieka"
"Chet seems like a decent fellow so I don't like to pile on, but in this game he was not a decent player. Shai tried while others just couldn't hit as well as previous games. Anyway, congrats to Spurs.","hot_take","depth-0, author=Kongary"
"This back to back shit isn't so easy is it? Seattle sends their regards, eat a dick Clay Bennett","hot_take","depth-0, author=by_yes_i_mean_no"
"Some will argue there’s an asterisk to this win because OKC was without their best player, Tony Brothers, this game","hot_take","depth-0, author=Chu-pac"
"It feels good knowing a bunch of people from Oklahoma are upset tonight","reaction","depth-0, author=SemataryPolka"
"Generational hate watch for anyone outside the state of Oklahoma","hot_take","depth-0, author=talksindemos3"
"In 2022-2023 he played for the 76ers for 2 games with 3.3 minutes per game, and went to the Spurs and played 20.9 minutes a game for 15 games shooting 40.7% from 3. His shooting form is so smooth and when he's in rhythm I just feel like the ball will go in. And he holds his own when being targeted by SGA. It's more than pure luck that well-run teams like the Spurs and OKC knew to pick up Champagnie and McCain. I wonder how do they know which player to pick up. What do they assess? Do they scout every player who's been cut and analyse their game and work ethics? How do they know a player that's been cut by another team would work on their team? And how do the 76ers in this case, not know that Champagnie could turn out to be a great role player/ starter on a Finals team?","analysis","Post body: multi-part question grounded in specific stats (MPG, shooting %, games played) and cross-team comparison — structured analytical framing"
"You mentioned McCain, see also Isiah Joe. Sixers have fumbled quite a number of useful players. But I will say both OKC and SA are really incredible at DEVELOPING specific skills in players -- most notably shooting.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"I agree with everything but idk if shooting is a strong point of okc development. they lost this series and were taken to game 7 twice last year partially because they couldn’t really shoot well from three","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"To answer part of your question, no, teams don’t necessarily spend a lot of time scouting EVERY player, but if they see a guy who has attributes that entice them, they’ll do deep dives. Sometimes a team will scout a guy for 2+ full years before they’re able to acquire them. It’s really a combination of excellent scouting, accurately assessing a players value, and being patient enough to wait until the right time to make the move so you don’t overpay.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Sometimes a team will scout a guy for 2+ full years before they’re able to acquire them. That's an interesting image of someone who observes a crush for 2 years from afar, then swoop in the moment the breakup happens. But yeah, Spurs are famously very good at identifying young reclamation projects, and produced many role players with decade long careers. Danny Green, Patty Mills, and Jonathan simmons off the top of my head. It helps that they always had a stable system, and when these guys come in they have a really specific role they are training for. Scout for the defensive IQ and attitude, then just teach them how to shoot. Then, BAM, You got a rotational player for a couple years.","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
